GEO_ID,NAME,HISPANIC_OR_LATINO_OF_ANY_RACE,WHITE_ALONE_NOT_HISPANIC,BLACK_OR_AFRICAN_AMERICAN_ALONE_NOT_HISPANIC,AMERICAN_INDIAN_OR_ALASKAN_NATIVE_ALONE_NOT_HISPANIC,ASIAN_ALONE_NOT_HISPANIC,NATIVE_HAWAIIAN_OR_PACIFIC_ISLANDER_ALONE_NOT_HISPANIC,SOME_OTHER_RACE_ALONE_NOT_HISPANIC,TWO_RACES_INCLUDING_SOME_OTHER_RACE_NOT_HISPANIC,TWO_OR_MORE_RACES_TWO_RACES_EXCLUDING_SOME_OTHER_RACE_AND_THREE_OR_MORE_RACES_NOT_HISPANIC,
0500000US06033,"Lake County, California",22,68.9,1.9,3.3,0.8,0,0,0,3,99.9
0500000US06037,"Los Angeles County, California",48.6,25.9,7.7,0.2,14.5,0.2,0.4,0.1,2.2,99.8
0500000US06039,"Madera County, California",58.8,33.1,2.4,0.9,2.2,0.7,0.1,0,1.8,100
0500000US06041,"Marin County, California",16.3,70.9,2.6,0,6.3,0.1,0.3,0,3.5,100
0500000US06045,"Mendocino County, California",25.8,64.3,0.9,4.5,2.2,0.2,0.1,0,1.9,99.9
0500000US06047,"Merced County, California",61,26.4,3.2,0.4,7.3,0,0,0.1,1.6,100
0500000US06053,"Monterey County, California",59.4,29.1,2.6,0.1,5.8,0.2,0.2,0.2,2.4,100
0500000US06055,"Napa County, California",34.6,51.5,2.2,0.5,8.2,0.2,0.3,0.1,2.5,100.1
0500000US06057,"Nevada County, California",9.8,84.7,0.3,0.3,1.2,0.3,0,0,3.4,100
0500000US06059,"Orange County, California",34,39.7,1.6,0.2,21,0.3,0.2,0.1,2.8,99.9
0500000US06061,"Placer County, California",14.4,71.4,1.9,0.4,8.2,0.2,0,0.2,3.3,100
0500000US06065,"Riverside County, California",50,33.9,6.1,0.4,6.7,0.3,0.3,0,2.2,99.9
0500000US06067,"Sacramento County, California",23.6,43.7,9.3,0.4,15.9,1.2,0.2,0.2,5.5,100
0500000US06071,"San Bernardino County, California",54.4,27.1,7.7,0.4,7.2,0.3,0.2,0.1,2.4,99.8
0500000US06073,"San Diego County, California",34.1,44.8,4.7,0.4,11.8,0.4,0.2,0.1,3.5,100
0500000US06075,"San Francisco County, California",15.2,39.8,5.2,0.3,34.6,0.4,0.4,0.2,3.8,99.9
0500000US06077,"San Joaquin County, California",42,30.3,6.6,0.3,15.8,0.6,0.1,0.3,3.8,99.8
0500000US06079,"San Luis Obispo County, California",22.9,68.1,1.7,0.5,3.7,0.1,0.4,0.1,2.5,100
0500000US06081,"San Mateo County, California",24,38.4,2.1,0.2,29.7,1.2,0.6,0.3,3.6,100.1
0500000US06083,"Santa Barbara County, California",46,43.6,2,0.4,5.6,0.1,0.1,0.1,2,99.9
0500000US06085,"Santa Clara County, California",25,30.4,2.4,0.2,37.6,0.4,0.3,0.2,3.5,100
0500000US06087,"Santa Cruz County, California",34,56.4,0.8,0.2,5,0,0.3,0.1,3.1,99.9
0500000US06089,"Shasta County, California",10.5,79,1,2,3.5,0.3,0.1,0,3.5,99.9
0500000US06095,"Solano County, California",27.3,37,13.4,0.3,15.3,0.8,0.2,0.1,5.6,100
0500000US06097,"Sonoma County, California",27.3,62.7,1.3,0.5,4.1,0.4,0.1,0.1,3.4,99.9
0500000US06099,"Stanislaus County, California",47.6,40.3,2.9,0.4,5.7,0.5,0.1,0.2,2.4,100.1
0500000US06101,"Sutter County, California",31.9,44.8,1.8,0.7,16.1,0.2,0.1,0,4.3,99.9
0500000US06103,"Tehama County, California",25.8,67.2,0.3,0.7,1.8,0,0,0.1,4,99.9
0500000US06107,"Tulare County, California",65.6,27.6,1.2,0.6,3.4,0.2,0.1,0.1,1.4,100.2
0500000US06111,"Ventura County, California",43.2,44.5,1.8,0.2,7.4,0.1,0.2,0.1,2.5,100
0500000US06113,"Yolo County, California",31.9,45.8,2.6,0.8,14.3,0.5,0.2,0.1,3.7,99.9
0500000US06115,"Yuba County, California",29.1,53.9,3.3,0.2,5.1,0.8,0,0.1,7.3,99.8
0500000US08001,"Adams County, Colorado",40.8,48.9,3.5,0.4,3.8,0.1,0.1,0.2,2.3,100.1
0500000US08005,"Arapahoe County, Colorado",19.8,59.2,10.8,0.4,6.1,0.2,0.3,0.1,3,99.9
0500000US08013,"Boulder County, Colorado",14,77.1,1.1,0.3,4.9,0,0.2,0.3,2.1,100
0500000US08014,"Broomfield County, Colorado",12.7,76.4,1.2,0.2,7.2,0,0.1,0,2.3,100.1
0500000US08031,"Denver County, Colorado",29.3,54.8,8.5,0.4,3.6,0.1,0.2,0.1,3.1,100.1
0500000US08035,"Douglas County, Colorado",9.1,81.1,1.6,0.4,5.2,0,0.2,0,2.2,99.8
0500000US08041,"El Paso County, Colorado",17.7,68.3,5.7,0.5,2.7,0.3,0.2,0.2,4.3,99.9
0500000US08059,"Jefferson County, Colorado",15.6,77.7,1.1,0.6,2.6,0,0,0,2.2,99.8
0500000US08069,"Larimer County, Colorado",11.9,82,0.9,0.6,2,0.1,0.2,0.1,2.3,100.1
0500000US08077,"Mesa County, Colorado",14.8,81,0.4,0.6,1.1,0,0,0.1,2,100
0500000US08101,"Pueblo County, Colorado",43.2,51.7,1.9,0.8,0.7,0.1,0,0.1,1.5,100
0500000US08123,"Weld County, Colorado",30,64.9,1.2,0.2,1.4,0.1,0,0,2.3,100.1
0500000US09001,"Fairfield County, Connecticut",20.5,60.5,11.1,0,5.3,0.1,0.4,0.3,1.7,99.9
0500000US09003,"Hartford County, Connecticut",18.8,59.4,12.8,0.2,5.8,0.1,0.5,0.2,2.2,100
0500000US09005,"Litchfield County, Connecticut",7.1,87.1,1.5,0.1,2.2,0,0.3,0.1,1.5,99.9
0500000US09007,"Middlesex County, Connecticut",6.6,83.1,4.8,0.1,3.2,0,0.2,0.1,2,100.1
0500000US09009,"New Haven County, Connecticut",19.1,61.5,12.8,0.1,4,0,0.2,0,2.3,100
0500000US09011,"New London County, Connecticut",11.1,74.9,5.8,0.7,4.3,0,0.3,0.1,2.8,100
0500000US09013,"Tolland County, Connecticut",5.9,83.8,3.1,0,5,0,0.2,0,2,100
0500000US09015,"Windham County, Connecticut",12.4,82,2,0.1,1.4,0,0,0,2,99.9
0500000US10001,"Kent County, Delaware",7.4,60.2,25.7,0.7,1.6,0.1,0.2,0.2,3.9,100
0500000US10003,"New Castle County, Delaware",10.4,56,25,0.2,5.4,0,0.4,0.1,2.5,100
0500000US10005,"Sussex County, Delaware",9.3,74.8,11.9,0.3,1.4,0,0.6,0,1.7,100
