GEO_ID,NAME,HIGHSCHOOL_OR_ABOVE
0500000US12109,"St. Johns County, Florida",95.6
0500000US12111,"St. Lucie County, Florida",86.6
0500000US12113,"Santa Rosa County, Florida",91
0500000US12115,"Sarasota County, Florida",93.8
0500000US12117,"Seminole County, Florida",93.6
0500000US12119,"Sumter County, Florida",94.5
0500000US12127,"Volusia County, Florida",91.1
0500000US12131,"Walton County, Florida",90.7
0500000US13013,"Barrow County, Georgia",84.8
0500000US13015,"Bartow County, Georgia",83.9
0500000US13021,"Bibb County, Georgia",86.9
0500000US13031,"Bulloch County, Georgia",89.9
0500000US13045,"Carroll County, Georgia",83
0500000US13047,"Catoosa County, Georgia",90.3
0500000US13051,"Chatham County, Georgia",89.6
0500000US13057,"Cherokee County, Georgia",90.8
0500000US13059,"Clarke County, Georgia",91.1
0500000US13063,"Clayton County, Georgia",83.7
0500000US13067,"Cobb County, Georgia",92
0500000US13073,"Columbia County, Georgia",93.2
0500000US13077,"Coweta County, Georgia",89.6
0500000US13089,"DeKalb County, Georgia",90
0500000US13095,"Dougherty County, Georgia",82.2
0500000US13097,"Douglas County, Georgia",90.8
0500000US13113,"Fayette County, Georgia",96
0500000US13115,"Floyd County, Georgia",85.5
0500000US13117,"Forsyth County, Georgia",93.5
0500000US13121,"Fulton County, Georgia",93.9
0500000US13127,"Glynn County, Georgia",90
0500000US13135,"Gwinnett County, Georgia",87.8
0500000US13139,"Hall County, Georgia",79.6
0500000US13151,"Henry County, Georgia",91.6
0500000US13153,"Houston County, Georgia",92.8
0500000US13157,"Jackson County, Georgia",85.1
0500000US13185,"Lowndes County, Georgia",90.7
0500000US13215,"Muscogee County, Georgia",88.9
0500000US13217,"Newton County, Georgia",85.8
0500000US13223,"Paulding County, Georgia",87.8
0500000US13245,"Richmond County, Georgia",86.8
0500000US13247,"Rockdale County, Georgia",88.1
0500000US13255,"Spalding County, Georgia",84.8
0500000US13285,"Troup County, Georgia",88.9
0500000US13295,"Walker County, Georgia",80.3
0500000US13297,"Walton County, Georgia",85.7
0500000US13313,"Whitfield County, Georgia",71.8
0500000US15001,"Hawaii County, Hawaii",92.6
0500000US15003,"Honolulu County, Hawaii",92.6
0500000US15007,"Kauai County, Hawaii",92.8
0500000US15009,"Maui County, Hawaii",90.6
0500000US16001,"Ada County, Idaho",94.7
0500000US16005,"Bannock County, Idaho",94
0500000US16019,"Bonneville County, Idaho",93
