GEO_ID,NAME,PERCENT_BELOW_POVERTY
0500000US12107,"Putnam County, Florida",22.9
0500000US12109,"St. Johns County, Florida",6.4
0500000US12111,"St. Lucie County, Florida",9.7
0500000US12113,"Santa Rosa County, Florida",10.1
0500000US12115,"Sarasota County, Florida",7
0500000US12117,"Seminole County, Florida",9.3
0500000US12119,"Sumter County, Florida",8.1
0500000US12127,"Volusia County, Florida",12.9
0500000US12131,"Walton County, Florida",9.2
0500000US13013,"Barrow County, Georgia",10
0500000US13015,"Bartow County, Georgia",15.1
0500000US13021,"Bibb County, Georgia",23.4
0500000US13031,"Bulloch County, Georgia",22.5
0500000US13045,"Carroll County, Georgia",15.1
0500000US13047,"Catoosa County, Georgia",7.6
0500000US13051,"Chatham County, Georgia",14
0500000US13057,"Cherokee County, Georgia",6.8
0500000US13059,"Clarke County, Georgia",27.2
0500000US13063,"Clayton County, Georgia",15.4
0500000US13067,"Cobb County, Georgia",8.1
0500000US13073,"Columbia County, Georgia",4.1
0500000US13077,"Coweta County, Georgia",9.9
0500000US13089,"DeKalb County, Georgia",12.4
0500000US13095,"Dougherty County, Georgia",27.2
0500000US13097,"Douglas County, Georgia",10.8
0500000US13113,"Fayette County, Georgia",5.8
0500000US13115,"Floyd County, Georgia",16.6
0500000US13117,"Forsyth County, Georgia",4.3
0500000US13121,"Fulton County, Georgia",13.5
0500000US13127,"Glynn County, Georgia",15.5
0500000US13135,"Gwinnett County, Georgia",9.3
0500000US13139,"Hall County, Georgia",14.5
0500000US13151,"Henry County, Georgia",8.2
0500000US13153,"Houston County, Georgia",10.6
0500000US13157,"Jackson County, Georgia",11.1
0500000US13185,"Lowndes County, Georgia",21.2
0500000US13215,"Muscogee County, Georgia",18.2
0500000US13217,"Newton County, Georgia",9.6
0500000US13223,"Paulding County, Georgia",6.2
0500000US13245,"Richmond County, Georgia",21
0500000US13247,"Rockdale County, Georgia",10.5
0500000US13255,"Spalding County, Georgia",17
0500000US13285,"Troup County, Georgia",22.4
0500000US13295,"Walker County, Georgia",14.2
0500000US13297,"Walton County, Georgia",11.1
0500000US13313,"Whitfield County, Georgia",12.5
0500000US15001,"Hawaii County, Hawaii",13.2
0500000US15003,"Honolulu County, Hawaii",8.1
0500000US15007,"Kauai County, Hawaii",8.6
0500000US15009,"Maui County, Hawaii",11.9
0500000US16001,"Ada County, Idaho",9.9
0500000US16005,"Bannock County, Idaho",13.2
0500000US16019,"Bonneville County, Idaho",8.2
0500000US16027,"Canyon County, Idaho",9.2
0500000US16055,"Kootenai County, Idaho",10
0500000US16083,"Twin Falls County, Idaho",9.3
0500000US17001,"Adams County, Illinois",12.5
0500000US17019,"Champaign County, Illinois",21.1
0500000US17031,"Cook County, Illinois",13
0500000US17037,"DeKalb County, Illinois",13.6
0500000US17043,"DuPage County, Illinois",5.9
0500000US17089,"Kane County, Illinois",8.2
0500000US17091,"Kankakee County, Illinois",12.2
0500000US17093,"Kendall County, Illinois",3.2
0500000US17097,"Lake County, Illinois",7.1
0500000US17099,"LaSalle County, Illinois",12.9
0500000US17111,"McHenry County, Illinois",5.1
0500000US17113,"McLean County, Illinois",15.7
0500000US17115,"Macon County, Illinois",17.4
0500000US17119,"Madison County, Illinois",10.6
0500000US17143,"Peoria County, Illinois",14.8
0500000US17161,"Rock Island County, Illinois",14
0500000US17163,"St. Clair County, Illinois",12.9
0500000US17167,"Sangamon County, Illinois",12.7
0500000US17179,"Tazewell County, Illinois",7.8
0500000US17183,"Vermilion County, Illinois",16.5
0500000US17197,"Will County, Illinois",6.4
0500000US17199,"Williamson County, Illinois",12.1
0500000US17201,"Winnebago County, Illinois",17
0500000US18003,"Allen County, Indiana",10.2
0500000US18005,"Bartholomew County, Indiana",13.9
0500000US18011,"Boone County, Indiana",10.1
0500000US18019,"Clark County, Indiana",9.8
0500000US18035,"Delaware County, Indiana",22.8
0500000US18039,"Elkhart County, Indiana",9.2
0500000US18043,"Floyd County, Indiana",11.2
0500000US18053,"Grant County, Indiana",15.3
0500000US18057,"Hamilton County, Indiana",4.6
0500000US18059,"Hancock County, Indiana",5.2
0500000US18063,"Hendricks County, Indiana",4.8
0500000US18067,"Howard County, Indiana",11.9
0500000US18081,"Johnson County, Indiana",4.8
0500000US18085,"Kosciusko County, Indiana",9.7
0500000US18089,"Lake County, Indiana",14.1
0500000US18091,"LaPorte County, Indiana",13.7
0500000US18095,"Madison County, Indiana",12.6
0500000US18097,"Marion County, Indiana",15
0500000US18105,"Monroe County, Indiana",22.3
0500000US18109,"Morgan County, Indiana",8.2
0500000US18127,"Porter County, Indiana",8.1
0500000US18141,"St. Joseph County, Indiana",15.7
0500000US18157,"Tippecanoe County, Indiana",16.8
0500000US18163,"Vanderburgh County, Indiana",14.7
0500000US18167,"Vigo County, Indiana",21.5
0500000US18177,"Wayne County, Indiana",15.2
0500000US19013,"Black Hawk County, Iowa",13.3
0500000US19049,"Dallas County, Iowa",3.7
0500000US19061,"Dubuque County, Iowa",11.4
0500000US19103,"Johnson County, Iowa",17.2
0500000US19113,"Linn County, Iowa",12.2
0500000US19153,"Polk County, Iowa",9.9
0500000US19155,"Pottawattamie County, Iowa",10.4
0500000US19163,"Scott County, Iowa",11.4
0500000US19169,"Story County, Iowa",17.5
0500000US19193,"Woodbury County, Iowa",12.4
0500000US20015,"Butler County, Kansas",7.5
0500000US20045,"Douglas County, Kansas",15.7
0500000US20091,"Johnson County, Kansas",5.3
0500000US20103,"Leavenworth County, Kansas",8.1
0500000US20161,"Riley County, Kansas",23.4
0500000US20173,"Sedgwick County, Kansas",12.4
0500000US20177,"Shawnee County, Kansas",8.6
0500000US20209,"Wyandotte County, Kansas",21
0500000US21015,"Boone County, Kentucky",7.8
0500000US21029,"Bullitt County, Kentucky",6
0500000US21037,"Campbell County, Kentucky",11.2
0500000US21047,"Christian County, Kentucky",19.9
0500000US21059,"Daviess County, Kentucky",16.8
0500000US21067,"Fayette County, Kentucky",15.6
0500000US21093,"Hardin County, Kentucky",9.8
0500000US21111,"Jefferson County, Kentucky",14
0500000US21117,"Kenton County, Kentucky",11.2
0500000US21145,"McCracken County, Kentucky",15.7
0500000US21151,"Madison County, Kentucky",18.3
0500000US21185,"Oldham County, Kentucky",5.1
0500000US21227,"Warren County, Kentucky",15.9
0500000US22005,"Ascension Parish, Louisiana",8.3
0500000US22015,"Bossier Parish, Louisiana",18.8
0500000US22017,"Caddo Parish, Louisiana",24.6
0500000US22019,"Calcasieu Parish, Louisiana",21
0500000US22033,"East Baton Rouge Parish, Louisiana",17.5
0500000US22045,"Iberia Parish, Louisiana",21.8
0500000US22051,"Jefferson Parish, Louisiana",13.9
0500000US22055,"Lafayette Parish, Louisiana",17.6
0500000US22057,"Lafourche Parish, Louisiana",18.9
0500000US22063,"Livingston Parish, Louisiana",13.1
0500000US22071,"Orleans Parish, Louisiana",23.2
0500000US22073,"Ouachita Parish, Louisiana",25.2
0500000US22079,"Rapides Parish, Louisiana",17.9
0500000US22097,"St. Landry Parish, Louisiana",22
0500000US22103,"St. Tammany Parish, Louisiana",12.3
0500000US22105,"Tangipahoa Parish, Louisiana",22.9
0500000US22109,"Terrebonne Parish, Louisiana",20
0500000US23001,"Androscoggin County, Maine",8.8
0500000US23003,"Aroostook County, Maine",16.3
0500000US23005,"Cumberland County, Maine",7.6
0500000US23011,"Kennebec County, Maine",11.8
0500000US23019,"Penobscot County, Maine",12.1
0500000US23031,"York County, Maine",7.6
0500000US24001,"Allegany County, Maryland",15.6
0500000US24003,"Anne Arundel County, Maryland",5
0500000US24005,"Baltimore County, Maryland",8.9
0500000US24009,"Calvert County, Maryland",5.9
0500000US24013,"Carroll County, Maryland",4.6
0500000US24015,"Cecil County, Maryland",12.3
